t_epoch,x_m,y_m,Pxx,Pxy,Pyx,Pyy
1.772659630633333445e+09,7.204269850786747753e+00,-6.342631340685930752e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630650000095e+09,7.384240573945647590e+00,-6.340116403056247663e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630666666746e+09,7.532965672842225402e+00,-6.338456821662472152e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630683333397e+09,7.650089306790325061e+00,-6.336284864636897396e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630700000048e+09,7.743076928638134682e+00,-6.333387957190782913e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630716666698e+09,7.816985433628242497e+00,-6.330942198406875576e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630733333349e+09,7.872874936558015513e+00,-6.328252274355230611e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630750000000e+09,7.910067852158082502e+00,-6.325798577337086215e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630766666651e+09,7.934885186497513843e+00,-6.324188474821028905e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630783333302e+09,7.936443104257048020e+00,-6.323154724849355546e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630799999952e+09,7.951483115541503111e+00,-6.320834740933207030e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630816666603e+09,7.941880268039095192e+00,-6.318810263838165042e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630833333254e+09,7.915745144187689597e+00,-6.317227124182322484e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630849999905e+09,7.881431513161232694e+00,-6.315130857679628917e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630866666555e+09,7.820922585905572433e+00,-6.315050854115980172e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630883333445e+09,7.738398357816365980e+00,-6.314929872878243344e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659630900000095e+09,7.613915651168138510e+00,-6.315506282064090726e+01,4.114129163198300725e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.122368680137210454e-06
1.772659630916666746e+09,7.500809395908043520e+00,-6.313635130572154708e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659630933333397e+09,7.397554629559314421e+00,-6.311842123357531165e+01,4.356136761033492893e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.364860955439398607e-06
1.772659630950000048e+09,7.313915512765012394e+00,-6.310355101433176372e+01,4.590144107700582978e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.599336957177880594e-06
1.772659630966666698e+09,7.180306286817597083e+00,-6.309052281936078543e+01,4.083878213468900116e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.092057145724435982e-06
1.772659630983333349e+09,7.005339265630529333e+00,-6.310504944218497769e+01,4.747072111382652207e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.756579246312166169e-06
1.772659631000000000e+09,6.829539762733260133e+00,-6.312198293131371685e+01,4.686982590985404174e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.696369382434796988e-06
1.772659631016666651e+09,6.662968499909558417e+00,-6.312164121602215516e+01,4.373286905761970884e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.382045447389946800e-06
1.772659631033333302e+09,6.491555032877821318e+00,-6.312057741710184189e+01,4.160355333571314912e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.168687429352234872e-06
1.772659631049999952e+09,6.349122110372078964e+00,-6.312334938149776065e+01,4.175995767156169069e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.184359186605438909e-06
1.772659631066666603e+09,6.169253092163774710e+00,-6.312019599260074898e+01,4.461103911901770595e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.470038327859625987e-06
1.772659631083333254e+09,6.036957062203962110e+00,-6.306650652915182320e+01,3.883968091131261282e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.891746656073590425e-06
1.772659631099999905e+09,5.897141552255062535e+00,-6.308839906026559419e+01,3.953077843642492797e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.960994817213688630e-06
1.772659631116666555e+09,5.776492519377015356e+00,-6.306425180969645794e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659631133333445e+09,5.702126420438350607e+00,-6.307346370504671285e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659631150000095e+09,5.628258383101809592e+00,-6.305476733273959411e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659631166666746e+09,5.596065553046282837e+00,-6.304038182990591821e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659631183333397e+09,5.548959055824712827e+00,-6.306163533528071241e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659631200000048e+09,5.495908236593663787e+00,-6.306102844994008905e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659631216666698e+09,5.427853445166614499e+00,-6.303793693114671726e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659631233333349e+09,5.358579769207126198e+00,-6.304521437221522717e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659631250000000e+09,5.285814793338395212e+00,-6.303953083064839547e+01,3.897596049345757289e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.905401907498408745e-06
1.772659631266666651e+09,5.197807012653253622e+00,-6.304456149855409564e+01,3.939059837104755960e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.946948736301585270e-06
